manager_name,manager_id,country,club,dob
Mikel Arteta,1,Spain,Arsenal,10/3/1990
Dean Smith,2,England,Aston Villa,7/16/1993
Graham Potter,3,England,Brighton,11/21/1998
Sean Dyche,4,England,Burnley,9/6/1996
Thomas Tuchel,5,Germany,Chelsea,5/19/1996
Roy Hodgson,6,England,Crystal Palace,1/23/1994
Carlo Ancelotti,7,Italy,Everton,1/10/1994
Scott Parker,8,England,Fulham,7/3/1996
Marcelo Bielsa,9,Argentina,Leicester,6/3/1997
Brendan Rodgers,10,England,Leeds,9/30/1990
Jürgen Klopp,11,Germany,Liverpool,3/24/1998
Pep Guardiola,12,Spain,Man City,5/12/1996
Ole Gunnar Solskjær,13,Norway,Man Utd,7/12/1993
Steve Bruce,14,England,Newcastle,3/25/1992
Paul Heckingbottom,15,England,Sheffield Utd,12/14/1994
Ralph Hasenhüttl,16,Austria,Southampton,6/17/1999
Ryan Mason,17,England,Spurs,7/26/2000
Sam Allardyce,18,England,West Brom,5/5/1993
David Moyes,19,Scotland,West Ham,10/15/1994
Nuno Espírito Santo,20,Portugal,Wolves,1/21/2000
